result_kind,workload_id,workload,variant,repeat,seed,json,csv,log,measured_ops_per_sec,measured_seconds,elapsed_seconds,run_mean_p95_ms,predicted_hot_dirs,predicted_eval_hot_dirs,predicted_eval_cold_dirs,predicted_hot_dir_precision,total_promotions,promoted_hot,promoted_cold,layout_failures
inrepo,predictor_false_hot_churn,predictor_false_hot_churn,predictor_nolearn,0,9100,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor_nolearn__r0.json,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor_nolearn__r0.csv,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor_nolearn__r0.log,28092.546202,0.871406,2.264275,0.9750642500000001,0,0,0,0.0,0,0,0,0
inrepo,predictor_false_hot_churn,predictor_false_hot_churn,predictor_nolearn,1,9101,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor_nolearn__r1.json,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor_nolearn__r1.csv,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor_nolearn__r1.log,28133.967864,0.870123,2.418873,0.9517337499999999,0,0,0,0.0,0,0,0,0
inrepo,predictor_false_hot_churn,predictor_false_hot_churn,predictor_nolearn,2,9102,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor_nolearn__r2.json,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor_nolearn__r2.csv,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor_nolearn__r2.log,32423.439567,0.755009,2.31138,0.83638125,0,0,0,0.0,0,0,0,0
inrepo,predictor_false_hot_churn,predictor_false_hot_churn,predictor_nolearn,3,9103,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor_nolearn__r3.json,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor_nolearn__r3.csv,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor_nolearn__r3.log,29874.914648,0.819417,2.207645,0.89550075,0,0,0,0.0,0,0,0,0
inrepo,predictor_false_hot_churn,predictor_false_hot_churn,predictor_nolearn,4,9104,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor_nolearn__r4.json,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor_nolearn__r4.csv,results/cloudlab-paperready-20260506-3x/predictor_false_hot_churn__predictor_nolearn__r4.log,29637.528989,0.82598,2.333111,0.89404825,0,0,0,0.0,0,0,0,0
inrepo,recreated_filebench_varmail_like,filebench_varmail_like,native,0,9100,results/cloudlab-paperready-20260506-3x/recreated_filebench_varmail_like__native__r0.json,results/cloudlab-paperready-20260506-3x/recreated_filebench_varmail_like__native__r0.csv,results/cloudlab-paperready-20260506-3x/recreated_filebench_varmail_like__native__r0.log,79.794414,178.007447,178.291754,20.54846433333333,,,,,,,,0
inrepo,recreated_filebench_varmail_like,filebench_varmail_like,native,1,9101,results/cloudlab-paperready-20260506-3x/recreated_filebench_varmail_like__native__r1.json,results/cloudlab-paperready-20260506-3x/recreated_filebench_varmail_like__native__r1.csv,results/cloudlab-paperready-20260506-3x/recreated_filebench_varmail_like__native__r1.log,83.129384,170.830088,171.989035,22.813868666666668,,,,,,,,0
inrepo,recreated_filebench_varmail_like,filebench_varmail_like,native,2,9102,results/cloudlab-paperready-20260506-3x/recreated_filebench_varmail_like__native__r2.json,results/cloudlab-paperready-20260506-3x/recreated_filebench_varmail_like__native__r2.csv,results/cloudlab-paperready-20260506-3x/recreated_filebench_varmail_like__native__r2.log,90.664554,156.577178,157.258353,17.938063333333332,,,,,,,,0
inrepo,recreated_filebench_varmail_like,filebench_varmail_like,native,3,9103,results/cloudlab-paperready-20260506-3x/recreated_filebench_varmail_like__native__r3.json,results/cloudlab-paperready-20260506-3x/recreated_filebench_varmail_like__native__r3.csv,results/cloudlab-paperready-20260506-3x/recreated_filebench_varmail_like__native__r3.log,100.969726,140.715446,142.159101,16.249423666666665,,,,,,,,0
inrepo,recreated_filebench_varmail_like,filebench_varmail_like,native,4,9104,results/cloudlab-paperready-20260506-3x/recreated_filebench_varmail_like__native__r4.json,results/cloudlab-paperready-20260506-3x/recreated_filebench_varmail_like__native__r4.csv,results/cloudlab-paperready-20260506-3x/recreated_filebench_varmail_like__native__r4.log,94.580441,151.817858,152.385774,17.693328,,,,,,,,0
inrepo,recreated_filebench_varmail_like,filebench_varmail_like,oracle,0,9100,results/cloudlab-paperready-20260506-3x/recreated_filebench_varmail_like__oracle__r0.json,results/cloudlab-paperready-20260506-3x/recreated_filebench_varmail_like__oracle__r0.csv,results/cloudlab-paperready-20260506-3x/recreated_filebench_varmail_like__oracle__r0.log,951.834037,14.92277,15.048669,3.5679610000000004,,,,,,,,0
inrepo,recreated_filebench_varmail_like,filebench_varmail_like,oracle,1,9101,results/cloudlab-paperready-20260506-3x/recreated_filebench_varmail_like__oracle__r1.json,results/cloudlab-paperready-20260506-3x/recreated_filebench_varmail_like__oracle__r1.csv,results/cloudlab-paperready-20260506-3x/recreated_filebench_varmail_like__oracle__r1.log,963.454625,14.739667,14.860299,3.545025666666667,,,,,,,,0
